Date Created,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Problem Type,Market
2/4/22,199,21,6,11,7,14,5,6,5,1
1/30/22,19,2,0,2,1,0,0,0,1,1
2/14/22,29,0,2,2,0,1,0,1,1,1
1/16/22,120,6,6,5,4,7,4,0,2,1
2/3/22,182,27,13,0,14,4,3,2,5,1
3/8/22,3,0,0,0,0,0,0,1,4,1
3/5/22,2,1,0,1,0,0,0,0,4,1
2/1/22,262,14,8,7,3,2,3,8,2,1
1/4/22,15,2,3,1,0,0,1,2,3,1
2/10/22,258,11,10,4,7,7,7,5,2,1
1/11/22,263,28,9,13,8,5,12,8,5,1
1/22/22,6,0,0,1,3,2,0,1,3,1
2/2/22,2,0,0,0,0,0,0,0,4,1
3/26/22,206,24,11,20,11,7,5,7,5,1
2/13/22,26,0,0,0,1,0,0,0,1,1
1/10/22,44,3,1,1,2,0,4,0,1,1
3/14/22,23,4,5,1,0,0,0,3,1,1
2/26/22,18,2,1,1,0,3,0,0,1,1
2/10/22,21,0,1,0,0,1,2,1,3,1
2/17/22,9,3,0,1,2,0,0,0,3,1
1/30/22,133,12,6,10,5,8,4,3,5,1
1/4/22,44,4,4,3,0,1,3,2,1,1
1/5/22,4,0,0,0,0,0,0,0,4,1
3/21/22,211,29,27,9,13,9,11,10,5,1
1/29/22,130,5,10,5,10,8,3,6,2,1
2/11/22,37,0,0,1,0,2,0,0,1,1
1/20/22,22,2,6,3,1,0,0,0,1,1
3/22/22,503,23,25,13,11,3,18,14,2,1
3/18/22,19,2,1,4,0,2,2,0,3,1
3/9/22,306,19,12,8,4,7,7,9,2,1
2/4/22,24,1,0,0,2,2,0,4,1,1
1/14/22,5,0,0,0,0,0,0,0,4,1
1/8/22,112,5,8,4,3,6,4,5,2,1
1/15/22,32,3,2,0,1,2,0,0,1,1
2/17/22,157,10,3,6,3,4,5,8,5,1
1/5/22,17,3,1,0,1,0,1,0,3,1
1/10/22,240,7,8,13,7,2,4,2,2,1
3/13/22,145,21,8,7,2,5,7,5,5,1
1/27/22,23,4,1,1,1,0,0,0,1,1
3/17/22,32,3,1,0,0,0,0,1,1,1
2/19/22,8,3,1,2,0,1,0,0,3,1
1/26/22,21,2,2,1,4,4,0,1,3,1
1/11/22,2,0,0,0,0,1,0,0,4,1
1/21/22,11,3,1,3,3,0,0,1,3,1
2/23/22,295,3,11,5,7,14,4,6,2,1
2/19/22,0,1,0,0,0,0,0,0,4,1
1/26/22,249,19,7,3,1,9,5,4,2,1
1/25/22,2,0,0,0,0,0,0,0,4,1
1/23/22,20,1,2,0,1,1,1,2,1,1
3/3/22,213,25,13,11,9,7,4,9,5,1
2/2/22,28,1,0,0,3,2,1,0,1,1
2/14/22,196,20,13,4,4,1,6,4,5,1
3/12/22,1,0,1,1,1,0,0,0,4,1
3/27/22,2,0,1,0,1,0,0,0,4,1
2/8/22,31,3,1,2,1,0,1,0,1,1
2/28/22,250,29,19,15,4,14,10,9,5,1
1/20/22,11,4,2,0,2,1,1,0,3,1
2/20/22,12,2,1,0,0,1,0,1,1,1
3/11/22,346,11,7,8,6,6,7,3,2,1
1/23/22,95,2,7,2,4,7,4,2,2,1
2/25/22,3,0,0,0,0,0,0,0,4,1
1/20/22,216,27,8,2,11,3,7,6,5,1
1/25/22,24,0,2,5,1,2,0,1,1,1
2/11/22,5,0,0,0,0,1,0,0,4,1
3/28/22,5,0,0,0,1,0,0,0,4,1
3/31/22,391,11,5,10,15,8,6,3,2,1
2/12/22,0,0,0,0,0,0,0,0,4,1
2/22/22,9,0,0,0,1,0,1,1,4,1
1/15/22,3,0,0,0,1,0,0,0,4,1
3/18/22,266,13,10,12,16,10,6,5,2,1
1/21/22,226,8,6,6,7,4,4,3,2,1
1/19/22,25,4,0,3,1,1,0,0,1,1
2/8/22,6,0,0,0,0,0,0,0,4,1
3/13/22,2,2,0,1,0,0,0,0,4,1
1/29/22,172,9,13,8,6,7,3,7,5,1
1/11/22,28,6,0,1,3,0,0,3,1,1
1/2/22,39,2,2,2,0,2,2,2,1,1
3/13/22,36,3,0,2,0,0,1,0,1,1
3/1/22,19,0,4,0,2,1,0,2,1,1
1/7/22,45,6,3,2,4,2,2,0,1,1
2/22/22,15,4,1,0,1,2,1,1,3,1
2/10/22,31,8,0,0,1,1,2,2,1,1
1/5/22,280,5,9,2,6,7,3,7,2,1
1/21/22,227,18,7,13,6,12,7,5,5,1
3/15/22,24,7,1,1,0,0,0,1,1,1
2/7/22,208,26,11,8,7,10,6,12,5,1
2/12/22,178,17,13,5,3,2,1,2,5,1
3/19/22,152,17,9,11,11,7,3,1,5,1
2/24/22,181,20,10,4,8,9,13,3,5,1
2/24/22,276,19,4,6,6,9,2,7,2,1
2/5/22,164,8,7,1,2,4,7,3,2,1
1/2/22,1,0,0,0,0,0,0,0,4,1
2/26/22,1,1,0,0,0,0,0,0,4,1
2/19/22,150,15,13,6,1,7,9,3,5,1
3/28/22,190,27,10,12,6,7,3,3,5,1
3/27/22,22,1,2,0,0,0,3,2,1,1
2/5/22,152,16,10,9,7,7,4,7,5,1
1/30/22,9,4,4,0,0,0,0,0,3,1
2/8/22,217,12,10,4,3,5,13,4,2,1
1/6/22,214,27,16,12,15,12,6,6,5,1
2/25/22,278,17,12,15,9,4,5,5,2,1
3/12/22,232,9,12,3,5,1,5,3,2,1
2/16/22,18,0,4,2,1,1,0,0,3,1
2/18/22,2,0,0,0,1,0,0,0,4,1
1/12/22,19,3,1,0,0,0,1,3,3,1
3/2/22,16,4,0,2,1,0,2,0,1,1
1/11/22,261,13,12,6,4,2,13,5,2,1
2/19/22,150,8,6,7,3,3,3,2,2,1
1/29/22,0,0,0,0,0,0,0,0,4,1
1/18/22,15,1,1,3,1,0,3,0,3,1
2/26/22,198,9,6,12,5,11,6,7,2,1
2/27/22,141,13,3,2,3,1,3,4,2,1
2/25/22,183,22,14,12,8,14,4,1,5,1
3/7/22,16,2,1,2,2,2,0,1,1,1
2/18/22,20,3,0,1,1,1,1,0,1,1
1/25/22,18,6,0,3,1,0,2,1,3,1
3/6/22,141,7,10,8,3,3,5,4,5,1
1/9/22,165,24,13,4,7,2,6,4,5,1
2/10/22,155,16,8,7,9,7,11,8,5,1
1/3/22,395,18,23,9,7,6,7,9,2,1
1/12/22,280,18,17,2,3,6,7,6,2,1
2/10/22,1,0,0,0,0,0,1,0,4,1
2/12/22,17,4,1,0,3,0,1,3,1,1
1/31/22,3,0,0,0,0,0,0,1,4,1
