Date Created,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day6,Day 7,Problem Type,Market
2/17/2022,9,3,1,0,2,2,0,2,3,3
1/4/2022,8,3,3,0,0,0,0,1,3,3
3/16/2022,27,3,2,2,0,0,0,1,2,3
1/23/2022,9,0,0,0,0,0,1,1,2,3
2/6/2022,2,0,0,0,0,0,0,0,4,3
3/16/2022,0,0,0,0,0,0,0,0,4,3
3/13/2022,8,3,5,0,2,0,0,0,3,3
2/9/2022,27,1,2,0,3,1,0,0,2,3
3/30/2022,33,2,2,1,1,0,0,0,2,3
2/11/2022,18,5,10,4,5,5,5,3,1,3
3/2/2022,33,3,1,2,0,0,2,3,2,3
3/22/2022,110,15,11,8,1,0,3,2,5,3
1/30/2022,17,0,0,0,0,0,0,1,2,3
3/12/2022,0,0,1,0,0,0,0,0,4,3
3/5/2022,3,0,1,0,1,0,0,0,3,3
1/7/2022,31,0,0,0,0,0,1,0,2,3
2/7/2022,30,0,0,4,2,1,2,1,2,3
1/5/2022,12,3,0,1,0,1,0,0,1,3
2/3/2022,58,20,2,1,4,6,1,1,5,3
1/4/2022,7,0,4,0,0,0,0,0,1,3
1/27/2022,36,4,0,3,0,2,0,1,2,3
1/20/2022,0,0,0,0,0,0,0,0,4,3
3/27/2022,44,13,2,1,7,1,2,1,5,3
1/28/2022,14,4,6,9,9,4,4,4,1,3
2/2/2022,72,6,8,1,2,9,6,1,5,3
1/27/2022,10,3,0,0,2,0,0,0,3,3
1/24/2022,153,14,4,4,10,4,0,4,5,3
1/13/2022,2,0,0,0,0,0,0,0,4,3
2/15/2022,18,2,1,1,1,0,0,2,3,3
2/12/2022,9,0,5,0,0,2,2,1,3,3
3/22/2022,13,5,4,4,1,0,4,1,3,3
1/3/2022,46,1,3,2,0,0,0,0,2,3
3/13/2022,21,0,0,0,3,0,0,0,2,3
1/15/2022,4,0,0,2,0,0,0,0,3,3
1/11/2022,0,0,0,0,0,0,0,0,4,3
1/25/2022,26,0,2,2,1,1,2,0,2,3
2/22/2022,227,69,5,2,1,1,0,1,5,3
2/8/2022,10,2,1,2,2,0,4,3,3,3
2/16/2022,41,4,3,0,0,2,3,1,2,3
2/14/2022,40,1,1,1,2,1,0,1,2,3
1/13/2022,190,15,3,2,2,3,7,5,5,3
1/15/2022,20,1,0,0,2,1,0,0,2,3
3/1/2022,42,1,2,2,2,0,1,0,2,3
2/17/2022,34,3,1,1,4,2,1,3,2,3
3/15/2022,34,0,2,2,2,0,1,1,2,3
3/29/2022,7,1,6,4,0,0,0,0,1,3
1/16/2022,17,2,1,0,1,1,0,0,2,3
3/20/2022,1,0,0,0,0,0,0,0,4,3
1/30/2022,8,8,8,4,4,4,4,2,1,3
2/20/2022,104,5,5,2,1,2,0,1,5,3
1/2/2022,11,0,0,0,0,0,0,1,1,3
3/23/2022,150,21,2,3,1,2,4,5,5,3
3/7/2022,15,4,3,7,2,2,3,1,3,3
3/24/2022,12,5,2,0,4,3,0,2,3,3
3/21/2022,65,7,6,4,3,1,0,3,5,3
3/31/2022,129,8,3,0,1,2,4,2,5,3
2/28/2022,69,3,4,0,0,0,0,3,5,3
1/18/2022,30,1,6,0,0,0,0,0,2,3
1/18/2022,3,1,1,0,0,0,0,0,1,3
3/24/2022,39,2,0,0,1,5,2,0,2,3
1/21/2022,14,0,0,2,1,2,1,0,3,3
2/5/2022,89,7,5,1,0,1,2,2,5,3
2/26/2022,0,0,0,0,0,0,0,0,4,3
3/28/2022,84,16,4,11,4,3,2,1,5,3
3/23/2022,18,1,4,1,1,1,2,2,3,3
1/31/2022,13,8,4,4,4,4,2,2,1,3
3/19/2022,0,0,0,0,0,0,0,0,4,3
2/22/2022,9,2,1,0,0,0,0,0,3,3
2/6/2022,20,0,2,2,1,2,0,3,2,3
1/25/2022,9,0,0,5,1,0,0,0,3,3
3/27/2022,11,0,1,0,0,0,0,0,2,3
2/19/2022,0,0,0,0,0,0,0,0,4,3
1/23/2022,0,0,0,0,0,0,0,0,4,3
3/12/2022,5,2,0,0,0,0,0,0,1,3
3/19/2022,24,0,3,0,0,1,0,2,2,3
1/8/2022,16,0,0,0,0,0,0,0,2,3
1/13/2022,74,4,3,2,0,0,0,2,2,3
3/26/2022,13,1,2,2,0,1,0,0,2,3
1/26/2022,29,2,4,0,2,0,5,1,2,3
2/8/2022,10,4,7,5,4,10,4,5,1,3
1/6/2022,26,1,0,1,1,2,0,1,1,3
2/5/2022,7,1,0,0,1,0,0,0,3,3
1/19/2022,28,5,0,0,0,0,1,0,2,3
2/15/2022,22,1,0,0,0,2,0,2,2,3
2/13/2022,10,3,1,0,0,0,1,1,3,3
3/15/2022,25,3,4,2,0,0,3,3,3,3
2/8/2022,27,4,3,3,0,4,3,2,2,3
1/31/2022,3,0,0,0,0,0,0,0,4,3
1/22/2022,19,0,0,0,0,0,1,0,2,3
3/11/2022,16,4,3,2,7,2,1,1,3,3
3/18/2022,0,0,0,0,0,0,0,0,4,3
2/18/2022,9,2,0,1,1,0,2,1,3,3
1/3/2022,15,0,0,2,1,0,0,0,1,3
1/10/2022,1,0,0,0,0,0,0,0,4,3
2/1/2022,34,0,0,2,2,0,1,2,2,3
1/12/2022,11,3,2,1,1,0,0,0,3,3
2/16/2022,15,4,2,2,0,2,4,1,3,3
3/14/2022,13,4,3,4,2,0,0,2,3,3
2/24/2022,55,4,0,1,0,0,2,1,5,3
2/15/2022,0,0,0,1,0,0,0,0,4,3
2/11/2022,13,2,1,6,2,2,2,1,3,3
1/18/2022,14,0,0,0,0,0,0,0,3,3
3/5/2022,15,2,0,2,1,3,0,1,2,3
1/21/2022,0,0,0,0,0,0,0,0,4,3
1/4/2022,1,0,0,0,0,0,0,0,4,3
3/27/2022,5,5,0,1,1,1,1,0,3,3
2/9/2022,10,8,3,5,10,5,5,4,1,3
3/12/2022,38,4,8,6,4,2,2,0,5,3
2/2/2022,7,4,4,4,2,1,5,4,1,3
3/16/2022,14,4,4,0,2,2,1,1,3,3
1/30/2022,43,7,4,0,1,3,2,1,5,3
3/10/2022,6,0,1,1,0,0,0,0,1,3
3/10/2022,25,1,1,0,1,3,0,0,2,3
2/17/2022,5,1,0,0,0,1,0,0,4,3
1/1/2022,2,0,1,0,0,1,0,0,1,3
3/4/2022,181,44,16,10,6,6,2,6,5,3
2/14/2022,373,63,16,9,13,10,4,1,5,3
1/21/2022,173,7,2,10,2,2,4,8,5,3
2/25/2022,7,5,5,12,1,3,2,4,1,3
1/25/2022,58,4,3,6,2,1,4,10,5,3
1/3/2022,1,0,0,0,0,0,0,0,4,3
1/14/2022,1,0,0,1,0,0,0,0,4,3
1/6/2022,33,3,1,1,1,4,1,4,2,3
3/5/2022,0,0,0,0,0,0,0,0,4,3
1/3/2022,62,7,6,8,5,4,0,1,5,3
2/9/2022,70,4,10,3,3,15,5,2,5,3
3/8/2022,28,2,0,0,0,1,2,1,2,3
3/22/2022,5,0,0,0,0,0,0,1,1,3
3/23/2022,1,0,0,0,0,0,0,0,4,3
2/24/2022,4,6,3,5,13,1,3,2,1,3
